Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.020329,2.3465E-09,0.28591,0,0,0,6.9543,0.081151,-3.9214E-09,-0.026195,0.31318,4.3114E-10,0.36231,0,0,0,0,0,0,package://upmoon_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://upmoon_description/meshes/base_link.STL,,Frame-1;rocker_bogie-2;rocker_bogie-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ankle_lf_link,-2.22044604925031E-16,-0.0554425788361456,-0.113686624298986,0,0,0,1.04774515766299,0.00322324069056713,-5.47281175631613E-19,-4.16744139109356E-19,0.00166301817426074,-0.000501932714163738,0.002605091688403,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_lf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_lf_link.STL,,ankles-4,lf_act_coord,lf_act_axis,ankle_lf_joint,continuous,0.39333,0.18733,0.15178,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_lf_link,-1.11022302462516E-16,0.0635,1.38777878078145E-17,0,0,0,1.85480335178328,0.00675983988350881,1.5605162651139E-19,6.23180432713856E-19,0.00853365922353221,-4.21851364054712E-19,0.00675983988350881,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_lf_link.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_lf_link.STL,,tire-3,lf_tire_coord,lf_tire_axis,wheel_lf_joint,continuous,0,-0.12954,-0.12065,0,0,0,ankle_lf_link,0,1,0,,,,,,,,,,,,
ankle_lm_link,5.55111512312578E-17,-0.0554425788361452,-0.113686624298986,0,0,0,1.04774515766299,0.00322324069056713,-2.10945751927331E-20,-1.07438080557644E-20,0.00166301817426074,-0.000501932714163738,0.002605091688403,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_lm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_lm_link.STL,,ankles-1,lm_act_coord,lm_act_axis,ankle_lm_joint,continuous,-0.035934,0.18733,0.15178,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_lm_link,-2.77555756156289E-17,0.0635,1.38777878078145E-17,0,0,0,1.85480335178328,0.00675983988350881,1.02243039778557E-19,-6.10688344738352E-19,0.00853365922353221,-8.58134619313326E-21,0.00675983988350881,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_lm_link.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_lm_link.STL,,tire-1,lm_tire_coord,lm_tire_axis,wheel_lm_joint,continuous,0,-0.12954,-0.12065,0,0,0,ankle_lm_link,0,1,0,,,,,,,,,,,,
ankle_lb_link,8.32667268468867E-17,-0.0554425788361456,-0.113686624298986,0,0,0,1.04774515766299,0.00322324069056713,-1.00834710764583E-19,-6.61417645039752E-20,0.00166301817426074,-0.000501932714163739,0.002605091688403,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_lb_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_lb_link.STL,,ankles-3,lb_act_coord,lb_act_axis,ankle_lb_joint,continuous,-0.41873,0.18733,0.15178,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_lb_link,-2.77555756156289E-17,0.0635,0,0,0,0,1.85480335178328,0.00675983988350881,-1.38168356719149E-19,4.36164364250201E-19,0.0085336592235322,2.30270606740052E-19,0.00675983988350881,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_lb_link.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_lb_link.STL,,tire-4,lb_tire_coord,lb_tire_axis,wheel_lb_joint,continuous,0,-0.12954,-0.12065,0,0,0,ankle_lb_link,0,1,0,,,,,,,,,,,,
ankle_rf_link,1.11022302462516E-16,0.0554425788361456,-0.113686624298986,0,0,0,1.04774515766299,0.00322324069056714,-4.13907677100432E-19,3.11569712245013E-19,0.00166301817426074,0.000501932714163739,0.002605091688403,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_rf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_rf_link.STL,,ankles-2,rf_act_coord,rf_act_axis,ankle_rf_joint,continuous,0.39333,-0.18733,0.15178,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_rf_link,0,-0.0634999999999999,-1.38777878078145E-17,0,0,0,1.85480335178328,0.00675983988350882,-1.12473578604354E-19,-1.25004024262758E-19,0.00853365922353221,-8.67811043273137E-20,0.00675983988350881,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_rf_link.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_rf_link.STL,,tire-5,rf_tire_coord,rf_tire_axis,wheel_rf_joint,continuous,0,0.12954,-0.12065,0,0,0,ankle_rf_link,0,-1,0,,,,,,,,,,,,
ankle_rm_link,1.38777878078145E-16,0.0554425788361446,-0.113686624298986,0,0,0,1.04774515766299,0.00322324069056713,-2.86732537090208E-19,2.95641698652251E-19,0.00166301817426074,0.000501932714163738,0.002605091688403,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_rm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_rm_link.STL,,ankles-5,rm_act_coord,rm_act_axis,ankle_rm_joint,continuous,-0.035934,-0.18733,0.15178,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_rm_link,2.77555756156289E-17,-0.0635,0,0,0,0,1.85480335178328,0.00675983988350881,-2.00877775622719E-19,-9.24742333906929E-19,0.00853365922353221,-1.24658504086238E-19,0.00675983988350881,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_rm_link.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_rm_link.STL,,tire-2,rm_tire_coord,rm_tire_axis,wheel_rm_joint,continuous,0,0.12954,-0.12065,0,0,0,ankle_rm_link,0,-1,0,,,,,,,,,,,,
ankle_rb_link,1.11022302462516E-16,0.0554425788361455,-0.113686624298986,0,0,0,1.04774515766299,0.00322324069056713,-3.18820056139109E-19,2.4167914372682E-19,0.00166301817426074,0.000501932714163738,0.002605091688403,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_rb_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://upmoon_description/meshes/ankle_rb_link.STL,,ankles-6,rb_act_coord,rb_act_axis,ankle_rb_joint,continuous,-0.41873,-0.18733,0.15178,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_rb_link,0,-0.0634999999999999,0,0,0,0,1.85480335178328,0.00675983988350882,-6.1303740424944E-20,-2.39283151664608E-19,0.00853365922353221,-2.53875293166181E-19,0.00675983988350882,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_rb_link.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://upmoon_description/meshes/wheel_rb_link.STL,,tire-6,rb_tire_coord,rb_tire_axis,wheel_rb_joint,continuous,0,0.12954,-0.12065,0,0,0,ankle_rb_link,0,-1,0,,,,,,,,,,,,
